Morphology
Abr	Abr
A_dem_acc_pl_f_-	A
A_dem_acc_pl_m_-	A
A_dem_acc_pl_n_-	A
A_dem_acc_sg_f_-	A
A_dem_acc_sg_m_-	A
A_dem_acc_sg_n_-	A
A_dem_dat_pl_f_-	A
A_dem_dat_pl_m_-	A
A_dem_dat_pl_n_-	A
A_dem_dat_sg_f_-	A
A_dem_dat_sg_m_-	A
A_dem_dat_sg_n_-	A
A_dem_gen_pl_f_-	A
A_dem_gen_pl_m_-	A
A_dem_gen_pl_n_-	A
A_dem_gen_sg_f_-	A
A_dem_gen_sg_m_-	A
A_dem_gen_sg_n_-	A
A_dem_ins_pl_f_-	A
A_dem_ins_pl_m_-	A
A_dem_ins_pl_n_-	A
A_dem_ins_sg_f_-	A
A_dem_ins_sg_m_-	A
A_dem_ins_sg_n_-	A
A_dem_loc_pl_f_-	A
A_dem_loc_pl_m_-	A
A_dem_loc_pl_n_-	A
A_dem_loc_sg_f_-	A
A_dem_loc_sg_m_-	A
A_dem_loc_sg_n_-	A
A_dem_nom_pl_f_-	A
A_dem_nom_pl_m_-	A
A_dem_nom_pl_n_-	A
A_dem_nom_sg_f_-	A
A_dem_nom_sg_m_-	A
A_dem_nom_sg_n_-	A
A_dem_voc_pl_f_-	A
A_dem_voc_pl_m_-	A
A_dem_voc_pl_n_-	A
A_dem_voc_sg_f_-	A
A_dem_voc_sg_m_-	A
A_dem_voc_sg_n_-	A
Adv_gen_-	Adv
Adv_gen_comp	Adv
Adv_gen_pos	Adv
Adv_gen_sup	Adv
Adv_inter_-	Adv
A_indef_acc_-_m_-	A
A_indef_acc_-_n_-	A
A_indef_acc_pl_f_-	A
A_indef_acc_pl_m_-	A
A_indef_acc_pl_n_-	A
A_indef_acc_sg_-_-	A
A_indef_acc_sg_f_-	A
A_indef_acc_sg_m_-	A
A_indef_acc_sg_n_-	A
A_indef_dat_-_m_-	A
A_indef_dat_-_n_-	A
A_indef_dat_pl_f_-	A
A_indef_dat_pl_m_-	A
A_indef_dat_pl_n_-	A
A_indef_dat_sg_-_-	A
A_indef_dat_sg_f_-	A
A_indef_dat_sg_m_-	A
A_indef_dat_sg_n_-	A
A_indef_gen_-_m_-	A
A_indef_gen_-_n_-	A
A_indef_gen_pl_f_-	A
A_indef_gen_pl_m_-	A
A_indef_gen_pl_n_-	A
A_indef_gen_sg_-_-	A
A_indef_gen_sg_f_-	A
A_indef_gen_sg_m_-	A
A_indef_gen_sg_n_-	A
A_indef_ins_-_m_-	A
A_indef_ins_-_n_-	A
A_indef_ins_pl_f_-	A
A_indef_ins_pl_m_-	A
A_indef_ins_pl_n_-	A
A_indef_ins_sg_-_-	A
